Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1943,3967000,1665306624,1488609280,3366724188,495,235018,0,0,0,0,0,0,0,0,76,0,5
1944,6528600,1665613824,1488609280,3366724188,496,234951,0,0,0,0,0,0,0,0,76,0,5
1945,2970700,1666236416,1488609280,3383501404,496,234951,0,0,0,0,0,0,0,0,76,0,5
1946,2633600,1666236416,1488609280,3383501404,496,234951,0,0,0,0,0,0,0,0,76,0,5
1947,3006700,1666236416,1488609280,3383501404,496,234951,0,0,0,0,0,0,0,0,76,0,5
1948,2919100,1666236416,1488609280,3383501404,496,234951,0,0,0,0,0,0,0,0,76,0,5
1949,4170100,1666338816,1488609280,3383501404,497,391291,0,0,0,0,0,0,0,0,76,0,5
1950,2712400,1667018752,1488609280,3400278620,497,391291,0,0,0,0,0,0,0,0,76,0,5
1951,3125800,1667371008,1488609280,3400278620,497,391291,0,0,0,0,0,0,0,0,76,0,5
1952,5609100,1667371008,1488609280,3400278620,497,391291,0,0,0,0,0,0,0,0,76,0,5
1953,6540700,1667686400,1488609280,3417055836,498,313820,0,0,0,0,0,0,0,0,76,0,5
1954,4475300,1668616192,1488609280,3433833052,498,313820,0,0,0,0,0,0,0,0,76,0,5
1955,4602700,1668616192,1488609280,3433833052,498,313820,0,0,0,0,0,0,0,0,76,0,5
1956,4712800,1668820992,1488609280,3433833052,499,392037,0,0,0,0,0,0,0,0,76,0,5
1957,3715200,1669251072,1488609280,3467387484,499,392037,0,0,0,0,0,0,0,0,76,0,5
1958,4269800,1669251072,1488609280,3467387484,499,392037,0,0,0,0,0,0,0,0,76,0,5
1959,3701300,1669251072,1488609280,3467387484,499,392037,0,0,0,0,0,0,0,0,76,0,5
1960,6072300,1669562368,1488609280,3467387484,500,313750,0,0,0,0,0,0,0,0,76,0,5
