Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1866,7904400,1736626176,1496997888,2956639284,403,78293,0,0,0,0,0,0,0,0,76,0,1
1867,4432900,1736642560,1496997888,2956639284,403,78293,0,0,0,0,0,0,0,0,76,0,1
1868,5419700,1736642560,1496997888,2956639284,403,78293,0,0,0,0,0,0,0,0,76,0,1
1869,10094900,1736650752,1496997888,2956639284,404,92,0,0,0,0,0,0,0,0,76,0,1
1870,5631600,1736650752,1496997888,2956639284,404,92,0,0,0,0,0,0,0,0,76,0,1
1871,4622700,1736650752,1496997888,2956639284,405,78290,0,0,0,0,0,0,0,0,76,0,1
1872,2645600,1736650752,1496997888,2956639284,405,78290,0,0,0,0,0,0,0,0,76,0,1
1873,2652200,1736650752,1496997888,2956639284,405,78290,0,0,0,0,0,0,0,0,76,0,1
1874,3062800,1736650752,1496997888,2956639284,405,78290,0,0,0,0,0,0,0,0,76,0,1
1875,5129100,1735311360,1496997888,2956639284,406,125,0,0,0,0,0,0,0,0,76,0,1
1876,3060200,1735311360,1496997888,2956639284,406,125,0,0,0,0,0,0,0,0,76,0,1
1877,3268200,1735311360,1496997888,2956639284,406,125,0,0,0,0,0,0,0,0,76,0,1
1878,2919500,1735311360,1496997888,2956639284,406,125,0,0,0,0,0,0,0,0,76,0,1
1879,4933500,1735311360,1496997888,2956639284,406,125,0,0,0,0,0,0,0,0,76,0,1
1880,8220700,1735311360,1496997888,2956639284,407,124,0,0,0,0,0,0,0,0,76,0,1
1881,5154900,1735311360,1496997888,2956639284,407,124,0,0,0,0,0,0,0,0,76,0,1
1882,7047800,1735311360,1496997888,2956639284,408,125,0,0,0,0,0,0,0,0,76,0,1
1883,4292100,1735311360,1496997888,2956639284,408,125,0,0,0,0,0,0,0,0,76,0,1
