Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
111;2160200;1332928512;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
112;2587800;1332989952;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
113;2432800;1333059584;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
114;2921600;1333121024;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
115;3309200;1333243904;1563594752;2986565260;908100;0;0;0;0;0;0;0;0;1900;882;1302;0;0;0;0;
116;2188300;1333309440;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
117;2503500;1333362688;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
118;2976100;1333440512;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
119;2323700;1333497856;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
120;2840500;1333571584;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
121;2881300;1333702656;1563594752;2986565260;800800;0;0;0;0;0;0;0;0;2200;882;1302;0;0;0;0;
122;1859700;1333764096;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
123;1878100;1333833728;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
124;2142000;1333927936;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
125;2813200;1334009856;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
126;3192100;1334099968;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
127;2299400;1334169600;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
128;3369200;1334308864;1563594752;2986565260;1018700;0;0;0;0;0;0;0;0;1600;882;1302;0;0;0;0;
129;2171300;1334382592;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
130;2043000;1334423552;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
131;2142900;1334489088;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
132;2469100;1334554624;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
133;3457200;1334628352;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
134;3335000;1334779904;1563594752;2986565260;861900;0;0;0;0;0;0;0;0;1800;882;1302;0;0;0;0;
135;4092900;1335099392;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
136;2929600;1335181312;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
137;3699700;1335250944;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
138;3564800;1335345152;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
139;4429800;1335472128;1563594752;2986565260;1217000;0;0;0;0;0;0;0;0;2200;882;1302;0;0;0;0;
140;3751300;1335549952;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
141;2864100;1335619584;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
142;3527100;1335693312;1563594752;2986565260;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
143;6420000;1336729600;1563594752;2986565260;779100;0;0;0;0;0;0;0;0;1800;882;1302;0;0;0;0;
144;9577300;1337139200;1563594752;2986573468;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
145;19636800;1341038592;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
146;4053100;1341349888;1563594752;3020241196;1689100;0;0;0;0;0;0;0;0;3900;882;1302;0;0;0;0;
147;2162600;1341513728;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
148;2211400;1341628416;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
149;2669100;1341775872;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
150;3398600;1341919232;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
151;3835700;1342300160;1563594752;3020241196;1104200;0;0;0;0;0;0;0;0;1800;882;1302;0;0;0;0;
152;2423000;1342861312;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
153;2271900;1342971904;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
154;2896800;1343336448;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
155;2808800;1343467520;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
156;2425500;1343590400;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
157;3264400;1343803392;1563594752;3020241196;752100;0;0;0;0;0;0;0;0;1600;882;1302;0;0;0;0;
158;2314400;1343930368;1563594752;3020241196;0;0;0;0;0;0;0;0;0;0;882;1302;0;0;0;0;
