Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
215;2527700;574910464;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
216;2040000;574939136;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
217;3869200;574951424;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
218;1747700;574951424;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
219;2909100;574955520;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
220;2524000;574959616;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
221;2203100;574963712;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
222;2352400;574963712;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
223;2130000;575000576;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
224;3234900;575008768;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
225;2275700;575012864;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
226;2329500;575012864;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
227;2447800;575021056;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
228;2140400;575021056;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
229;2403100;575025152;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
230;2101400;575062016;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
231;3260600;575070208;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
232;2245000;575074304;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
233;2451200;575074304;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
234;2079700;575082496;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
235;2525800;575082496;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
236;1986400;575119360;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
237;3609300;575123456;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
238;1813900;575135744;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
239;2900600;575135744;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
240;2075500;575139840;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
241;2472300;575143936;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
242;2161100;575148032;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
243;2246900;575184896;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
244;3140100;575193088;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
245;2354700;575201280;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
246;2217100;575205376;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
247;2561600;575209472;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
248;2073300;575213568;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
249;2404700;575217664;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
250;2063800;575250432;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
251;3618700;575258624;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
252;2012100;575262720;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
253;2576600;575270912;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
254;2250500;575270912;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
255;2442500;575279104;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
256;2121500;575279104;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
257;2364000;575320064;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
258;3317000;575324160;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
259;2044400;575328256;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
260;2594700;575332352;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
261;2344200;575336448;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
262;2215200;575344640;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
263;2242500;575344640;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
264;2141600;575381504;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
265;3248900;575385600;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
266;2193100;575389696;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
267;2391700;575393792;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
268;2133600;575397888;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
269;2433500;575401984;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
270;2193000;575406080;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
271;2292300;575442944;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
272;3124200;575451136;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
