Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
103;2078300;573730816;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
104;2273700;573739008;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
105;2229800;573747200;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
106;2592800;573755392;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
107;2116400;573763584;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
108;2001400;573804544;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
109;3503300;573812736;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
110;2017300;573816832;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
111;2006900;573829120;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
112;2672600;573833216;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
113;1865300;573845504;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
114;2193800;573853696;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
115;2155500;573890560;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
116;2397800;573898752;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
117;2089600;573902848;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
118;2249700;573915136;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
119;2872000;573919232;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
120;2180900;573931520;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
121;2416400;573935616;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
122;2019700;573984768;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
123;3784400;573988864;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
124;1927600;573992960;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
125;2429500;574001152;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
126;2074100;574009344;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
127;2464900;574017536;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
128;2169900;574025728;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
129;2002800;574062592;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
130;3283100;574070784;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
131;2082100;574078976;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
132;2566300;574087168;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
133;2501700;574095360;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
134;2034100;574103552;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
135;2336100;574111744;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
136;3273200;574152704;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
137;2125100;574156800;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
138;2271100;574160896;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
139;2076600;574173184;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
140;2671500;574173184;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
141;2205000;574185472;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
142;2182900;574189568;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
143;2206200;574230528;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
144;3845900;574234624;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
145;1570500;574242816;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
